name_zagr;x;y
Ko-082-559;7559000;5082000
Ko-083-559;7559000;5083000
Ko-084-559;7559000;5084000
Ko-085-559;7559000;5085000
Ko-086-559;7559000;5086000
Ko-087-559;7559000;5087000
Ko-088-559;7559000;5088000
Ko-089-559;7559000;5089000
Ko-090-559;7559000;5090000
Ko-091-559;7559000;5091000
Ko-092-559;7559000;5092000
Ko-093-559;7559000;5093000
Ko-094-559;7559000;5094000
Ko-095-559;7559000;5095000
Ko-096-559;7559000;5096000
Ko-097-559;7559000;5097000
Ko-098-559;7559000;5098000
Ko-099-559;7559000;5099000
Ko-100-559;7559000;5100000
Ko-101-559;7559000;5101000
Ko-102-559;7559000;5102000
Ko-103-559;7559000;5103000
Ko-104-559;7559000;5104000
Ko-105-559;7559000;5105000
Ko-106-559;7559000;5106000
Ko-107-559;7559000;5107000
Ko-108-559;7559000;5108000
Ko-109-559;7559000;5109000
Ko-110-559;7559000;5110000
Ko-111-559;7559000;5111000
Ko-112-559;7559000;5112000
Ko-113-559;7559000;5113000
Ko-114-559;7559000;5114000
Ko-082-560;7560000;5082000
Ko-083-560;7560000;5083000
Ko-084-560;7560000;5084000
Ko-085-560;7560000;5085000
Ko-086-560;7560000;5086000
Ko-087-560;7560000;5087000
Ko-088-560;7560000;5088000
Ko-089-560;7560000;5089000
Ko-090-560;7560000;5090000
Ko-091-560;7560000;5091000
Ko-092-560;7560000;5092000
Ko-093-560;7560000;5093000
Ko-094-560;7560000;5094000
Ko-095-560;7560000;5095000
Ko-096-560;7560000;5096000
Ko-097-560;7560000;5097000
Ko-098-560;7560000;5098000
Ko-099-560;7560000;5099000
Ko-100-560;7560000;5100000
Ko-101-560;7560000;5101000
Ko-102-560;7560000;5102000
Ko-103-560;7560000;5103000
Ko-104-560;7560000;5104000
Ko-105-560;7560000;5105000
Ko-106-560;7560000;5106000
Ko-107-560;7560000;5107000
Ko-108-560;7560000;5108000
Ko-109-560;7560000;5109000
Ko-110-560;7560000;5110000
